,school,rating,type,students,grades,city,zip
2549,Boonville Elementary School,5,Public district,372, PK-5, Boonville, 13309
2550,Forestport Elementary School,5,Public district,93, PK-5, Forestport, 13338
2551,Henry H Wells Middle School,5,Public district,678, 6-8, Brewster, 10509
2552,Fred W Hill School,5,Public district,476, 4-5, Brockport, 14420
2553,Brocton Elementary School,5,Public district,267, PK-5, Brocton, 14716
2554,Brocton Middle High School,5,Public district,263, 6-12, Brocton, 14716
2555,Brushton Moira High School,5,Public district,335, 7-12, Brushton, 12916
2556,Hutchinson Central Technical High School,5,Public district,"1,148", 9-12, Buffalo, 14201
2557,Leonardo Da Vinci High School,5,Public district,375, 9-12, Buffalo, 14201
2558,Byron Bergen High School,5,Public district,422, 7-12, Bergen, 14416
2559,Cairo Durham High School,5,Public district,407, 9-12, Cairo, 12413
2560,F S Banford Elementary School,5,Public district,533, PK-4, Canton, 13617
2561,George Fischer Middle School,5,Public district,"1,326", 5-8, Carmel Hamlet, 10512
2562,Cassadaga Valley High School,5,Public district,464, 6-12, Sinclairville, 14782
2563,Sinclairville Elementary School,5,Public district,400, PK-5, Sinclairville, 14782
2564,Cato Meridian Elementary School,5,Public district,390, PK-4, Cato, 13033
2565,Catskill Elementary School,5,Public district,684, PK-5, Catskill, 12414
2566,Center Moriches High School,5,Public district,581, 9-12, Center Moriches, 11934
2567,Charles A Mulligan School,5,Public district,796, 6-8, Central Islip, 11722
2568,Brewerton Elementary School,5,Public district,432, PK-5, Brewerton, 13029
2569,Chenango Forks Elementary School,5,Public district,689, PK-5, Binghamton, 13901
2570,Chenango Bridge Elementary School,5,Public district,390, 3-5, Binghamton, 13901
2571,Cherry Road Elementary School,5,Public district,364, 2-4, Syracuse, 13219
2572,Onondaga Hill Middle School,5,Public district,558, 5-8, Syracuse, 13215
2573,Chester Academy Middle High School,5,Public district,643, 6-12, Chester, 10918
2574,Bridgeport Elementary School,5,Public district,236, K-4, Bridgeport, 13030
2575,Chittenango Middle School,5,Public district,620, 5-8, Chittenango, 13037
2576,Fairbanks Road Elementary School,5,Public district,479, K-4, Churchville, 14428
2577,Cleveland Hill Elementary School,5,Public district,605, PK-5, Cheektowaga, 14225
2578,Clyde Savannah High School,5,Public district,235, 9-12, Clyde, 14433
2579,Van Schaick Island School,5,Public district,154, K-5, Cohoes, 12047
2580,Harmony Hill School,5,Public district,402, K-5, Cohoes, 12047
2581,Burr Intermediate School,5,Public district,675, 3-5, Commack, 11725
2582,Idle Hour Elementary School,5,Public district,207, K-5, Oakdale, 11769
2583,Helen B Duffield Elementary School,5,Public district,386, K-5, Ronkonkoma, 11779
2584,Walter G O Connell Copiague High School,5,Public district,"1,608", 9-12, Copiague, 11726
2585,Copiague Middle School,5,Public district,"1,091", 6-8, Copiague, 11726
2586,Great Neck Road Elementary School,5,Public district,621, K-5, Copiague, 11726
2587,Corinth High School,5,Public district,355, 9-12, Corinth, 12822
2588,Corinth Middle School,5,Public district,261, 6-8, Corinth, 12822
2589,Corinth Elementary School,5,Public district,550, K-5, Corinth, 12822
2590,Corning Painted Post East High School,5,Public district,"1,562", 9-12, Corning, 14830
2591,Erwin Valley Elementary School,5,Public district,471, K-5, Painted Post, 14870
2592,William E Severn Elementary School,5,Public district,430, K-5, Corning, 14830
2593,F E Smith School,5,Public district,251, K-6, Cortland, 13045
2594,Coxsackie Athens High School,5,Public district,415, 9-12, Coxsackie, 12051
2595,Dansville Junior Senior High School,5,Public district,681, 7-12, Dansville, 14437
2596,Deer Park High School,5,Public district,"1,377", 9-12, Deer Park, 11729
2597,Delevan Elementary School,5,Public district,444, PK-4, Delevan, 14042
2598,Cayuga Heights Elementary School,5,Public district,830, K-5, Depew, 14043
2599,Moses Dewitt Elementary School,5,Public district,269, K-4, Syracuse, 13214
2600,Downsville Central School,5,Public district,226, PK-12, Downsville, 13755
2601,Dryden High School,5,Public district,444, 9-12, Dryden, 13053
2602,Duanesburg Elementary School,5,Public district,352, K-6, Delanson, 12053
2603,School 4,5,Public district,254, K-5, Dunkirk, 14048
2604,School 5,5,Public district,202, K-5, Dunkirk, 14048
2605,School 7,5,Public district,308, PK-5, Dunkirk, 14048
2606,Citizen Edmond Genet School,5,Public district,419, K-5, East Greenbush, 12061
2607,East Hampton High School,5,Public district,950, 9-12, East Hampton, 11937
2608,Eastridge Senior High School,5,Public district,983, 9-12, Rochester, 14622
2609,Laurelton Pardee Intermediate School,5,Public district,320, 3-5, Rochester, 14609
2610,East Rockaway Junior/Senior High School,5,Public district,549, 7-12, East Rockaway, 11518
2611,Edinburg Common School,5,Public district,80, PK-6, Northville, 12134
2612,Eldred Junior Senior High School,5,Public district,253, 7-12, Eldred, 12732
2613,Elizabethtown Lewis Central School,5,Public district,246, K-12, Elizabethtown, 12932
2614,Elmira Free Academy,5,Public district,838, 8-9, Elmira, 14905
2615,Charles F Johnson Jr Elementary School,4,Public district,397, K-5, Endicott, 13760
2616,George F Johnson Elementary School,4,Public district,555, K-5, Endicott, 13760
2617,Thomas J Watson Sr Elementary School,4,Public district,297, K-5, Endicott, 13760
2618,Saltzman East Memorial Elementary School,4,Public district,578, K-5, Farmingdale, 11735
2619,Fort Edward School,4,Public district,512, PK-12, Fort Edward, 12828
2620,Fredonia Middle School,4,Public district,447, 5-8, Fredonia, 14063
2621,Leo F Giblyn School,4,Public district,636, K-4, Freeport, 11520
2622,Fulton Junior High School,4,Public district,479, 7-8, Fulton, 13069
2623,G Ray Bodley High School,4,Public district,"1,107", 9-12, Fulton, 13069
2624,J E Lanigan School,4,Public district,443, K-6, Fulton, 13069
2625,Granby Elementary School,4,Public district,492, K-6, Fulton, 13069
2626,Volney Elementary School,4,Public district,386, K-6, Fulton, 13069
2627,Geneseo Elementary School,4,Public district,391, K-5, Geneseo, 14454
2628,Gilboa Conesville Central School,4,Public district,320, PK-12, Gilboa, 12076
2629,Glen Cove High School,4,Public district,"1,029", 9-12, Glen Cove, 11542
2630,Landing School,4,Public district,353, 3-5, Glen Cove, 11542
2631,Gorham Elementary School,4,Public district,259, 3-5, Stanley, 14561
2632,Gouverneur Junior Senior High School,4,Public district,901, 5-12, Gouverneur, 13642
