,school,rating,type,students,grades,city,zip
3362,Ps 16 Wakefield,3,Public district,358, PK-5, Bronx, 10470
3363,Ps 19 The Curtis School,3,Public district,594, PK-5, Staten Island, 10310
3364,Ps 20 Port Richmond,3,Public district,455, K-5, Staten Island, 10302
3365,Ps 25 Bilingual School,3,Public district,533, PK-5, Bronx, 10455
3366,Ps 28 Mount Hope,3,Public district,719, PK-5, Bronx, 10457
3367,Ps 30 Wilton,3,Public district,553, PK-5, Bronx, 10454
3368,Ps 34 Franklin D Roosevelt,3,Public district,326, PK-8, New York, 10009
3369,Ms 35 Stephen Decatur,3,Public district,248, 6-8, Brooklyn, 11233
3370,Ps 36 St Albans School,3,Public district,447, K-5, Queens, 11412
3371,Ps 40 Samuel Huntington,3,Public district,465, PK-5, Queens, 11433
3372,Ps 41 Francis White,3,Public district,461, K-8, Brooklyn, 11212
3373,Ps Ms 42 R Vernam,3,Public district,663, PK-8, Queens, 11692
3374,Ps 44 David C Farragut,3,Public district,278, PK-5, Bronx, 10457
3375,Ps 44 Thomas C Brown,3,Public district,867, PK-5, Staten Island, 10303
3376,P.S. 45 Clarence Witherspoon,3,Public district,324, PK-5, Queens, 11436
3377,Ps 46 Arthur Tappan,3,Public district,663, PK-8, New York, 10039
3378,Ps 310 Marble Hill,3,Public district,741, PK-5, Bronx, 10463
3379,Ps 52,3,Public district,481, PK-5, Queens, 11434
3380,Ps 56 Lewis H Latimer,3,Public district,285, PK-5, Brooklyn, 11238
3381,Ps 59 William Floyd,3,Public district,315, PK-5, Brooklyn, 11206
3382,Ps 61 Francisco Oller,3,Public district,285, PK-5, Bronx, 10460
3383,Ps 62 Inocensio Casanova,3,Public district,699, PK-5, Bronx, 10455
3384,Ps 114 Luis Lorens Torres School,3,Public district,737, K-5, Bronx, 10452
3385,Ps 67 Charles A Dorsey,3,Public district,211, PK-5, Brooklyn, 11205
3386,The Lexington Academy,3,Public district,615, PK-8, New York, 10029
3387,Catherine And Count Basie Middle School 72,3,Public district,378, 6-8, Queens, 11434
3388,Ps 73 Bronx,3,Public district,705, PK-5, Bronx, 10452
3389,Ps 75,3,Public district,626, PK-5, Bronx, 10459
3390,Ps 76 The Bennington School,3,Public district,958, K-5, Bronx, 10469
3391,Ps 76 William Hallett,3,Public district,456, PK-5, Queens, 11106
3392,Ps 80 Thurgood Marshall Magnet,3,Public district,519, PK-5, Queens, 11434
3393,Ps 87,3,Public district,587, K-5, Bronx, 10466
3394,Ps 90 Edna Cohen School,3,Public district,666, PK-5, Brooklyn, 11224
3395,Ps 93 Albert G Oliver,3,Public district,341, PK-5, Bronx, 10473
3396,Ps 96 Richard Rodgers,3,Public district,957, K-5, Bronx, 10467
3397,Jhs 98 Herman Ridder,3,Public district,237, 6-8, Bronx, 10460
3398,P.S. 102 Jacques Cartier,3,Public district,314, PK-5, New York, 10029
3399,Ps 103 Hector Fontanez,3,Public district,"1,135", K-5, Bronx, 10466
3400,Ps 104 The Bays Water,3,Public district,685, PK-5, Queens, 11691
3401,Ps 109 Sedgwick,3,Public district,663, PK-5, Bronx, 10453
3402,Ps 110 Theodore Schoenfeld,3,Public district,458, PK-5, Bronx, 10456
3403,Ps 111 Jacob Blackwell,3,Public district,320, PK-8, Queens, 11101
3404,Ps 115 Alexander Humboldt,3,Public district,452, PK-5, New York, 10033
3405,Ps Is 116 William C Hughley,3,Public district,787, PK-8, Queens, 11433
3406,Ps 120 Carlos Tapia,3,Public district,407, PK-5, Brooklyn, 11206
3407,Ps 123 Mahalia Jackson,3,Public district,477, PK-8, New York, 10030
3408,Ps 123 Suydam,3,Public district,620, PK-5, Brooklyn, 11237
3409,Ps 128 Audubon,3,Public district,585, PK-5, New York, 10032
3410,Acorn Community High School,3,Public district,185, 9-12, Brooklyn, 11238
3411,Ps 134 Henrietta Szold,3,Public district,293, PK-5, New York, 10002
3412,Ps 138 Samuel Randall,3,Public district,711, PK-5, Bronx, 10473
3413,P.S. / M.S. 138 Sunrise,3,Public district,764, PK-8, Queens, 11422
3414,Ps 140 Edward K Ellington,3,Public district,477, PK-5, Queens, 11434
3415,Jhs 143 Eleanor Roosevelt,3,Public district,263, 6-8, New York, 10033
3416,Ps 143 Louis Armstrong,3,Public district,"1,508", K-5, Queens, 11368
3417,Ps 146 Ann M Short,3,Public district,334, PK-5, New York, 10029
3418,Ps 146 Edward Collins,3,Public district,405, PK-5, Bronx, 10456
3419,Ps Ms 147 Ronald Mcnair,3,Public district,579, PK-8, Queens, 11411
3420,PS 149 Sojourner Truth,3,Public district,238, PK-8, New York, 10026
3421,Ps 150 Charles James Fox,3,Public district,867, PK-5, Bronx, 10459
3422,Ps 151 Lyndon B Johnson,3,Public district,305, PK-5, Brooklyn, 11207
3423,Ps 152 Dyckman Valley,3,Public district,574, PK-5, New York, 10040
3424,Ps 152 Evergreen,3,Public district,816, K-5, Bronx, 10472
3425,Ps 156 Waverly,3,Public district,706, PK-5, Brooklyn, 11212
3426,Ps 159 Isaac Pitkin,3,Public district,800, K-5, Brooklyn, 11208
3427,Ps 160 Walter Francis Bishop,3,Public district,654, PK-5, Queens, 11435
3428,Jhs 162 The Willoughby,3,Public district,364, 6-8, Brooklyn, 11237
3429,Ps 178 Saint Clair Mckelway,3,Public district,376, PK-8, Brooklyn, 11233
3430,Ps 183 Dr Richard R Green,3,Public district,526, PK-8, Queens, 11693
3431,Ps 184 Newport,3,Public district,550, PK-8, Brooklyn, 11212
3432,Ps 189,3,Public district,810, PK-5, New York, 10040
3433,Ps 191 Amsterdam,3,Public district,497, PK-8, New York, 10023
3434,Is 192 The Linden,3,Public district,496, 6-8, Queens, 11412
3435,Ps 195 William Haberle,3,Public district,560, PK-5, Queens, 11422
3436,Ps 196 Ten Eyck,3,Public district,313, PK-5, Brooklyn, 11206
3437,Ps 202 Ernest S Jenkyns,3,Public district,439, PK-5, Brooklyn, 11208
3438,Ps Ms 206 Jose Celso Barbosa,3,Public district,465, 3-8, New York, 10035
3439,Ps 214 Michael Friedsam,3,Public district,914, PK-5, Brooklyn, 11208
3440,Ps 219 Kennedy King,3,Public district,533, PK-5, Brooklyn, 11212
3441,Ps 223 Lyndon B Johnson,3,Public district,559, PK-5, Queens, 11434
3442,Is 229 Roland Patterson,3,Public district,246, 6-8, Bronx, 10453
3443,Ps 233 Langston Hughes,3,Public district,455, PK-5, Brooklyn, 11236
3444,Ms 246 Walt Whitman,3,Public district,409, 6-8, Brooklyn, 11226
3445,Ps 250 George H Lindsey,3,Public district,484, PK-5, Brooklyn, 11206
3446,Ps 268 Emma Lazarus,3,Public district,388, PK-5, Brooklyn, 11203
3447,Ps 272 Curtis Estabrook,3,Public district,471, PK-5, Brooklyn, 11236
3448,Ps 273 Wortman,3,Public district,366, PK-5, Brooklyn, 11207
3449,Ps 276 Louis Marshall,3,Public district,615, PK-5, Brooklyn, 11236
3450,Ps 288 The Shirley Tanyhill,3,Public district,667, PK-8, Brooklyn, 11224
3451,Ps 297 Abraham Stockton,3,Public district,223, PK-5, Brooklyn, 11206
3452,Ps 305 Dr Peter Ray,3,Public district,137, PK-5, Brooklyn, 11216
3453,Ps 306 Ethan Allen,3,Public district,327, PK-5, Brooklyn, 11207
3454,Ps 307 Daniel Hale Williams,3,Public district,365, PK-5, Brooklyn, 11201
3455,Ps 309 George E Wibecan Preparatory Academy,3,Public district,204, PK-5, Brooklyn, 11221
3456,Ps 327 Dr Rose B English,3,Public district,328, PK-5, Brooklyn, 11212
3457,Ps 335 Granville T Woods,3,Public district,242, PK-5, Brooklyn, 11213
3458,Queens Technical High School,3,Public district,"1,544", 9-12, Queens, 11101
3459,Ralph R Mckee Career And Technical Education High School,3,Public district,795, 9-12, Staten Island, 10301
3460,Richmond Hill High School,3,Public district,"1,670", 9-12, Queens, 11418
3461,William Cullen Bryant High School,3,Public district,"2,378", 9-12, Queens, 11103
3462,Humanities Preparatory Academy,3,Public district,233, 9-12, New York, 10011
3463,Ps 89 Cypress Hills,3,Public district,458, PK-8, Brooklyn, 11207
3464,Cobble Hill School of American Studies,3,Public district,588, 9-12, Brooklyn, 11201
3465,A Philip Randolph Campus High School,3,Public district,"1,379", 9-12, New York, 10031
3466,Is 206 Ann Mersereau,3,Public district,202, 6-8, Bronx, 10468
3467,John Dewey High School,3,Public district,"2,294", 9-12, Brooklyn, 11223
3468,Jhs 52 Inwood,3,Public district,268, 6-8, New York, 10034
3469,Jhs 22 Jordan L Mott,3,Public district,458, 6-8, Bronx, 10456
3470,Ps 182 Samantha Smith,3,Public district,759, K-5, Queens, 11432
3471,Manhattan Comprehensive Night And Day High School,3,Public district,587, 10-12, New York, 10003
3472,Nathan T Hall School,3,Public district,355, PK-3, Newark Valley, 13811
3473,Newark Valley Middle School,3,Public district,361, 4-7, Newark Valley, 13811
3474,Balmville School,3,Public district,492, PK-5, Newburgh, 12550
3475,Newburgh Free Academy Main Campus,3,Public district,"3,217", 9-12, Newburgh, 12550
3476,South Middle School,3,Public district,769, 6-8, Newburgh, 12550
3477,Newfield Middle School,3,Public district,168, 6-8, Newfield Hamlet, 14867
3478,Newfield Elementary School,3,Public district,415, PK-5, Newfield Hamlet, 14867
3479,Niagara Street School,3,Public district,612, PK-6, Niagara Falls, 14303
3480,Marion G Vedder Elementary School,3,Public district,359, K-5, North Babylon, 11703
3481,Roxboro Road Middle School,3,Public district,817, 5-7, Mattydale, 13211
3482,Ohio Elementary School,3,Public district,506, K-6, North Tonawanda, 14120
3483,Northville Elementary School,3,Public district,191, PK-5, Northville, 12134
3484,John F Kennedy School,3,Public district,647, PK-6, Ogdensburg, 13669
3485,Olean Middle School,3,Public district,615, 4-7, Olean, 14760
3486,Claremont School,3,Public district,740, 3-5, Ossining, 10562
3487,Fitzhugh Park Elementary School,3,Public district,419, K-6, Oswego, 13126
3488,Leighton Elementary School,3,Public district,285, K-6, Oswego, 13126
3489,Minetto Elementary School,3,Public district,438, K-6, Oswego, 13126
3490,South Seneca Elementary School,3,Public district,320, PK-5, Interlaken, 14847
3491,Oxford Academy Primary School,3,Public district,327, PK-4, Oxford, 13830
3492,Palmyra Macedon Intermediate School,3,Public district,420, 3-5, Macedon, 14502
3493,Eagle Elementary School,3,Public district,593, K-5, Medford, 11763
3494,Oakside School,3,Public district,534, 2-3, Peekskill, 10566
3495,Peekskill High School,3,Public district,"1,054", 9-12, Peekskill, 10566
3496,Circleville Elementary School,3,Public district,510, PK-5, Circleville, 10919
3497,Poland Elementary School,3,Public district,304, PK-6, Poland, 13431
3498,Port Byron Senior High School,3,Public district,433, 7-12, Port Byron, 13140
3499,Poughkeepsie High School,3,Public district,"1,127", 9-12, Poughkeepsie, 12603
3500,Red Jacket Elementary School,3,Public district,359, PK-5, Shortsville, 14548
3501,Pulaski Street Elementary School,3,Public district,821, 5-6, Riverhead, 11901
3502,Riverhead Middle School,3,Public district,849, 7-8, Riverhead, 11901
3503,School 15 Children S School Of Rochester,3,Public district,355, PK-6, Rochester, 14610
3504,School 2 Clara Barton,3,Public district,386, PK-6, Rochester, 14608
3505,School 5 John Williams,3,Public district,658, PK-8, Rochester, 14608
3506,School 9 Dr Martin Luther King Jr,3,Public district,689, PK-6, Rochester, 14605
3507,School 58 World Of Inquiry School,3,Public district,892, K-12, Rochester, 14605
3508,School Of The Arts,3,Public district,"1,139", 7-12, Rochester, 14607
3509,Louis V Denti Elementary School,3,Public district,532, K-6, Rome, 13440
3510,Lyndon H Strough Middle School,3,Public district,765, 7-8, Rome, 13440
3511,Ridge Mills Elementary School,3,Public district,357, K-6, Rome, 13440
3512,John E Joy Elementary School,3,Public district,347, K-6, Rome, 13440
3513,Marbletown Elementary School,3,Public district,317, PK-3, Stone Ridge, 12484
3514,Washington Rose School,3,Public district,776, PK-6, Roosevelt, 11575
3515,Roxbury Central School,3,Public district,279, PK-12, Roxbury, 12474
3516,Royalton-Hartland Elementary School,3,Public district,512, PK-4, Gasport, 14067
3517,Bloomingdale School,3,Public district,139, K-5, Saranac Lake, 12983
3518,Hamilton Elementary School,3,Public district,460, PK-5, Schenectady, 12303
3519,Schenectady High School,3,Public district,"2,646", 9-12, Schenectady, 12308
3520,Van Corlaer School,3,Public district,389, PK-5, Schenectady, 12306
3521,Elizabeth Cady Stanton Elementary School,3,Public district,276, 3-5, Seneca Falls, 13148
3522,Sharon Springs Central School,3,Public district,241, K-12, Sharon Springs, 13459
3523,Woodrow Wilson Elementary School,3,Public district,297, 3-5, Buffalo, 14212
3524,Sodus High School,3,Public district,470, 7-12, Sodus, 14551
3525,Solvay Elementary School,3,Public district,479, K-4, Syracuse, 13209
3526,Birchwood Intermediate School,3,Public district,665, 3-5, Huntington Station, 11746
3527,Maplewood Intermediate School,3,Public district,655, 3-5, Huntington, 11743
3528,Southampton Elementary School,3,Public district,512, PK-4, Southampton, 11968
3529,Spencer Van Etten Elementary School,3,Public district,354, PK-4, Van Etten, 14889
3530,Eldorado Elementary School,3,Public district,489, 3-6, Spring Valley, 10977
3531,Grandview Elementary School,3,Public district,509, K-3, Monsey, 10952
3532,Ramapo High School,3,Public district,"1,389", 9-12, Spring Valley, 10977
3533,Summit Park Elementary School,3,Public district,540, K-3, New City, 10956
3534,Heritage Heights Elementary School,3,Public district,360, K-5, Buffalo, 14228
3535,Edward Smith K 8 School,3,Public district,744, PK-8, Syracuse, 13210
3536,Frazer K 8 School,3,Public district,921, PK-8, Syracuse, 13204
3537,Huntington K 8 School,3,Public district,965, PK-8, Syracuse, 13206
3538,Nottingham High School,3,Public district,"1,362", 9-12, Syracuse, 13224
3539,Roberts K 8 School,3,Public district,691, PK-8, Syracuse, 13207
3540,L P Quinn Elementary School,3,Public district,466, PK-6, Tupper Lake, 12986
3541,Unadilla Elementary School,3,Public district,377, K-5, Unadilla, 13849
3542,California Avenue Elementary School,3,Public district,864, K-5, Uniondale, 11553
3543,Watson Williams Elementary School,3,Public district,725, K-6, Utica, 13501
3544,General Herkimer Elementary School,3,Public district,721, K-6, Utica, 13502
3545,Thomas Jefferson Elementary School,3,Public district,561, K-6, Utica, 13502
3546,Senator James H Donovan Middle School,3,Public district,716, 7-8, Utica, 13502
3547,Thomas R Proctor High School,3,Public district,"2,727", 9-12, Utica, 13501
3548,Townsend Elementary School,3,Public district,476, PK-5, Walton, 13856
3549,Myers Corners School,3,Public district,766, K-6, Wappingers Falls, 12590
3550,Vassar Road Elementary School,3,Public district,346, K-3, Poughkeepsie, 12603
3551,Warsaw Elementary School,3,Public district,361, K-5, Warsaw, 14569
3552,Little Britain Elementary School,3,Public district,442, 1-5, New Windsor, 12553
3553,Taft Elementary School,3,Public district,722, K-5, Washingtonville, 10992
3554,Waterford Elementary School,3,Public district,419, K-6, Waterford, 12188
3555,Starbuck Elementary School,3,Public district,217, K-4, Watertown, 13601
3556,South Bay School,3,Public district,283, K-5, West Babylon, 11704
3557,Northwood Elementary School,3,Public district,568, PK-4, Buffalo, 14224
3558,Winchester Elementary School,3,Public district,369, 1-5, Buffalo, 14224
3559,Westfield Elementary School,3,Public district,314, PK-5, Westfield, 14787
3560,T J Connor Elementary School,3,Public district,303, K-5, Scottsville, 14546
3561,Wheelerville School,3,Public district,122, PK-8, Caroga Lake, 12032
3562,Post Road School,3,Public district,655, K-5, White Plains, 10606
3563,Caryl E Adams Primary School,3,Public district,453, PK-3, Lisle, 13797
3564,Milton L Olive Middle School,3,Public district,784, 5-8, Wyandanch, 11798
3565,Wyandanch Memorial High School,3,Public district,766, 9-12, Wyandanch, 11798
3566,Riverside High School,3,Public district,951, 9-12, Yonkers, 10701
3567,Foxfire School,3,Public district,518, PK-8, Yonkers, 10701
3568,Gorton High School,3,Public district,"1,008", 9-12, Yonkers, 10703
3569,Cross Hill Academy,3,Public district,687, PK-8, Yonkers, 10703
3570,Roosevelt High School,3,Public district,956, 9-12, Yonkers, 10710
3571,School 22,3,Public district,472, PK-6, Yonkers, 10703
3572,York Central Elementary School,3,Public district,365, K-6, Piffard, 14533
3573,Cordello Avenue Elementary School,3,Public district,616, 1-5, Central Islip, 11722
3574,Holley Elementary School,3,Public district,550, PK-6, Holley, 14470
3575,Ps 242 The Young Diplomats Magnet School,3,Public district,171, PK-5, New York, 10027
3576,Is 313 School Of Leadership Development,3,Public district,317, 6-8, Bronx, 10457
3577,Is 339,3,Public district,505, 6-8, Bronx, 10457
3578,Ps 340,3,Public district,656, PK-5, Bronx, 10468
3579,The Angelo Patri Middle School,3,Public district,523, 6-8, Bronx, 10457
3580,Ps 396,3,Public district,336, PK-5, Bronx, 10453
3581,Cedar Place Elementary School,3,Public district,644, PK-8, Yonkers, 10705
3582,Cattaraugus Little Valley Primary School,3,Public district,348, PK-4, Cattaraugus, 14719
3583,Brighter Choice Charter School for Boys,3,Public charter,319, K-5, Albany, 12206
3584,Brighter Choice Charter School for Girls,3,Public charter,338, K-5, Albany, 12206
3585,King Center Charter School,3,Public charter,446, K-8, Buffalo, 14215
3586,Gowanda Middle School,3,Public district,360, 5-8, Gowanda, 14070
3587,Ps 199 The Shakespeare School,3,Public district,753, PK-5, Bronx, 10452
3588,In Tech Academy Aka Ms High School 368,3,Public district,993, 6-12, New York, 10463
3589,Ms 266 Park Place Community Middle School,3,Public district,161, 6-8, Brooklyn, 11217
3590,Ps 188 The Island School,3,Public district,431, PK-8, New York, 10002
3591,Ps Is 323,3,Public district,565, PK-8, Brooklyn, 11212
3592,Secondary School For Law,3,Public district,451, 9-12, Brooklyn, 11215
3593,School For International Studies,3,Public district,633, 6-12, Brooklyn, 11201
3594,Middle College High School At Laguardia Community,3,Public district,507, 9-12, Queens, 11101
3595,Martin Avenue Elementary School,3,Public district,278, K-6, Bellmore, 11710
3596,Ausable Valley Middle School,3,Public district,176, 7-8, Keeseville, 12924
3597,"High School for Law, Advocacy and Community Justice",3,Public district,462, 9-12, New York, 10023
3598,Thurgood Marshall Academy For Learning And Social,3,Public district,534, 6-12, New York, 10030
3599,Ms 302 Luisa Dessus Cruz,3,Public district,481, 6-8, Bronx, 10455
3600,School Of Performing Arts,3,Public district,304, 6-8, Bronx, 10459
3601,Bronx High School Law And Community Services,3,Public district,414, 9-12, Bronx, 10458
3602,Ps 92 Adrian Hegeman,3,Public district,423, PK-5, Brooklyn, 11226
3603,Waverly Middle School,3,Public district,434, 5-8, Waverly, 14892
3604,Buffalo United Charter School,3,Public charter,717, K-8, Buffalo, 14214
3605,Enterprise Charter School,3,Public charter,405, K-8, Buffalo, 14203
3606,Harvey Milk High School,3,Public district,62, 9-12, New York, 10003
3607,Bronx Academy Of Letters,3,Public district,577, 6-12, Bronx, 10451
3608,Ps 63 Author S Academy,3,Public district,582, PK-5, Bronx, 10456
3609,Luisa Piniero Fuentes School of Science and Discovery,3,Public district,444, K-5, Bronx, 10468
3610,Park Slope Collegiate,3,Public district,660, 6-12, Brooklyn, 11215
3611,Brooklyn Academy of Science and the Environment,3,Public district,368, 9-12, Brooklyn, 11225
3612,High School for Law Enforcement and Public Safety,3,Public district,503, 9-12, Queens, 11434
3613,Center Moriches Middle School,3,Public district,380, 6-8, Center Moriches, 11934
3614,Cheektowaga Middle School,3,Public district,619, 5-8, Buffalo, 14225
3615,Birchwood School,3,Public district,76, K-12, West Nyack, 10994
3616,Brooklyn Secondary School For Collaborative Studie,3,Public district,675, 6-12, Brooklyn, 11231
3617,Stephen And Harriet Myers Middle School,3,Public district,678, 6-8, Albany, 12209
3618,Urban Assembly Academy Of Government And Law,3,Public district,311, 9-12, New York, 10002
3619,Lower Manhattan Arts Academy,3,Public district,329, 9-12, New York, 10002
3620,South Bronx Academy For Applied Media,3,Public district,232, 6-8, Bronx, 10456
3621,Academy Of Public Relations,3,Public district,248, 6-8, Bronx, 10456
3622,Eximius College Preparatory Academy,3,Public district,431, 9-12, Bronx, 10456
3623,Mott Hall Bronx High School,3,Public district,378, 9-12, Bronx, 10457
3624,The Forward School,3,Public district,562, 6-8, Bronx, 10467
3625,New World High School,3,Public district,396, 9-12, Bronx, 10466
3626,Fannie Lou Hamer Middle School,3,Public district,278, 6-8, Bronx, 10460
3627,Roosevelt Middle School,3,Public district,446, 7-8, Roosevelt, 11575
3628,Ebbetts Field Middle School,3,Public district,165, 6-8, Brooklyn, 11225
3629,University Neighborhood Middle School,3,Public district,201, 5-8, New York, 10002
3630,Henry Street School For International Studies,3,Public district,173, 9-12, New York, 10002
3631,Essex Street Academy,3,Public district,338, 9-12, New York, 10002
3632,Urban Assembly School Of Design And Construction,3,Public district,353, 9-12, New York, 10019
3633,Urban Assembly School for Media Studies,3,Public district,401, 9-12, New York, 10023
3634,Frederick Douglas Academy II Secondary School,3,Public district,355, 6-12, New York, 10026
3635,High School Of Applied Communications,3,Public district,417, 9-12, Queens, 11101
3636,Central Park East I,3,Public district,200, PK-5, New York, 10029
3637,Ms 328 Manhattan Middle School For Scientific Inqu,3,Public district,223, 6-8, New York, 10032
3638,Pathways College Preparatory School: A College Board School,3,Public district,582, 6-12, Queens, 11412
3639,Millenium Art Academy,3,Public district,427, 9-12, Bronx, 10473
3640,Ps 333 The Museum School,3,Public district,635, PK-5, Bronx, 10459
3641,Renaissance High School for Musical Theater and Technology,3,Public district,449, 9-12, Bronx, 10461
3642,Bronx Writing Academy,3,Public district,438, 6-8, Bronx, 10456
3643,New Millennium Business Academy Middle School,3,Public district,247, 6-8, Bronx, 10456
3644,Marie Curie High School Nursing Medicine And Applied,3,Public district,490, 9-12, Bronx, 10463
3645,Bronx Health Sciences High School,3,Public district,318, 9-12, Bronx, 10475
3646,Bronx Academy Of Health Careers,3,Public district,392, 9-12, Bronx, 10467
3647,Astor Collegiate Academy,3,Public district,470, 9-12, Bronx, 10469
3648,East Bronx Academy For The Future,3,Public district,664, 6-12, Bronx, 10460
3649,Satellite East Middle School,3,Public district,106, 6-8, Brooklyn, 11216
3650,School For Human Rights,3,Public district,439, 7-12, Brooklyn, 11203
3651,High School For Service And Learning At Erasmus,3,Public district,364, 9-12, Brooklyn, 11226
3652,Explore Charter School,3,Public charter,529, K-8, Brooklyn, 11226
3653,Uft Charter School,3,Public charter,264, 9-12, Brooklyn, 11207
3654,Teachers Preperatory High School,3,Public district,242, 7-12, Brooklyn, 11212
3655,Excelsior Preparatorty High School,3,Public district,477, 9-12, Queens, 11413
3656,George Washington Carver High School For The Scien,3,Public district,462, 9-12, Queens, 11413
3657,George R Staley Upper Elementary School,3,Public district,738, K-6, Rome, 13440
3658,Nathaniel Woodhull Elementary School,3,Public district,690, K-5, Shirley, 11967
3659,Albany Community Charter School,3,Public charter,681, K-8, Albany, 12202
3660,Green Tech High Charter School,3,Public charter,356, 9-12, Albany, 12202
3661,Washington Heights Expeditionary Learning School,3,Public district,820, PK-3, New York, 10033
3662,Acad for College Prep & Career Exploration: A College Board School,3,Public district,421, 6-12, Brooklyn, 11226
3663,Urban Assembly Institute of Math and Science for Young Women,3,Public district,478, 6-12, Brooklyn, 11201
3664,Ps 503 The School Of Discovery,3,Public district,"1,081", K-5, Brooklyn, 11220
3665,Goldie Maple Academy,3,Public district,432, PK-8, Queens, 11692
3666,Antonia Pantoja Preperatory Academy,3,Public district,396, 6-12, Bronx, 10473
3667,"Archimedes Academy for Math, Science and Technology Applications",3,Public district,690, 6-12, Bronx, 10473
3668,Academy For Language And Technology,3,Public district,327, 9-12, Bronx, 10453
3669,School Of Diplomacy,3,Public district,400, 6-8, Bronx, 10467
3670,International Preparatory School At Grover Clevela,3,Public district,862, 6-12, Buffalo, 14213
3671,West Brooklyn Community High School,3,Public district,228, 10-12, Brooklyn, 11219
3672,Gotham Professional Arts Academy,3,Public district,198, 9-12, Brooklyn, 11238
3673,Kurt Hahn Expeditionary Learning School,3,Public district,351, 9-12, Brooklyn, 11203
3674,Brooklyn Theatre Arts High School,3,Public district,366, 9-12, Brooklyn, 11236
3675,Victory Collegiate High School,3,Public district,407, 9-12, Brooklyn, 11236
3676,Life Academy High School For Film And Music,3,Public district,302, 9-12, Brooklyn, 11214
3677,Gaskill Preparatory School,3,Public district,500, 7-8, Niagara Falls, 14301
3678,Thornton High School,3,Public district,749, 9-12, Mount Vernon, 10550
3679,School For Global Leaders,3,Public district,259, 6-8, New York, 10002
3680,Business Of Sports School,3,Public district,432, 9-12, New York, 10019
3681,High School For Language And Diplomacy,3,Public district,328, 9-12, New York, 10003
3682,Global Technology Preparatory,3,Public district,126, 6-8, New York, 10035
3683,Bronx Early College Academy For Teaching And Learn,3,Public district,525, 6-12, Bronx, 10456
3684,Elementary School For Math Science And Technology,3,Public district,273, K-5, Bronx, 10453
3685,School For Environmental Citizenship,3,Public district,597, PK-5, Bronx, 10453
3686,Pan American International High School At Monroe,3,Public district,470, 9-12, Bronx, 10472
3687,City Polytechnic High School Of Engineering Archi,3,Public district,439, 9-12, Brooklyn, 11201
3688,Red Hook Neighborhood School,3,Public district,203, PK-5, Brooklyn, 11231
3689,Sunset Park High School,3,Public district,"1,219", 9-12, Brooklyn, 11232
3690,Academy of Innovative Technology,3,Public district,401, 9-12, New York, 11208
3691,Cypress Hills Collegiate Preparatory School,3,Public district,246, 9-12, New York, 11208
3692,Eagle Academy for Young Men II,3,Public district,643, 6-12, Brooklyn, 11233
3693,Metropolitan Diploma Plus High School,3,Public district,175, 9-12, Brooklyn, 11212
3694,Pan American International High School,3,Public district,437, 9-12, Queens, 11373
3695,Village Academy,3,Public district,357, 6-8, Queens, 11691
3696,Queens High School For Information Research And T,3,Public district,436, 9-12, Queens, 11691
3697,Acadey of Medical Technology - A College Board School,3,Public district,645, 6-12, Queens, 11691
3698,Pulaski Middle School,3,Public district,247, 6-8, Pulaski, 13142
3699,Northside Charter High School,3,Public charter,411, 9-12, Brooklyn, 11222
3700,New Roots Charter School,3,Public charter,150, 9-12, Ithaca, 14851
3701,Albany Leadership Charter High School For Girls,3,Public charter,360, 9-12, Albany, 12208
3702,Academy for Personal Leadership and Excellence,3,Public district,552, 6-8, Bronx, 10468
3703,Fort Green Preparatory Academy,3,Public district,200, 6-8, Brooklyn, 11205
3704,Ps 330,3,Public district,592, K-5, Queens, 11368
3705,Cambria Heights Academy,3,Public district,357, 9-12, Queens, 11423
3706,Murray Hill Academy,3,Public district,317, 9-12, New York, 10016
3707,Rochester Early College International High School,3,Public district,331, 9-12, Rochester, 14611
3708,Eagle Academy for Young Men III,3,Public district,526, 6-12, Queens, 11434
3709,Ps 74 Future Leaders Elementary School,3,Public district,312, K-5, Staten Island, 10301
3710,Salmon River Middle School,3,Public district,337, 6-8, Fort Covington, 12937
3711,Thomas Cornell Academy,3,Public district,380, PK-6, Yonkers, 10701
3712,Collaborative Arts Middle School,3,Public district,303, 6-8, Queens, 11413
3713,Baychester Middle School,3,Public district,301, 6-8, Bronx, 10466
3714,Ichabod Crane Elementaryschool,3,Public district,288, 3-5, Valatie, 12184
3715,Broome Street Academy Charter High School,3,Public charter,333, 9-12, New York, 10013
3716,The New Visions Charter High School For The Humani,3,Public charter,543, 9-12, New York, 10463
3717,New Visions Charter High School For Advanced Math,3,Public charter,501, 9-12, New York, 10463
3718,West Buffalo Charter School,3,Public charter,399, K-6, Buffalo, 14213
3719,Academy for Young Writers,3,Public district,545, 6-12, Brooklyn, 11239
3720,Discovery Charter School,3,Public charter,292, K-6, Rochester, 14615
3721,Young Women's College Prep Charter,3,Public charter,351, 7-12, Rochester, 14615
3722,Manhattan Charter School II,3,Public charter,240, K-5, New York, 10002
3723,Heketi Community Charter School,3,Public charter,285, K-5, Bronx, 10454
3724,Westchester Square Academy,3,Public district,599, 9-12, Bronx, 10461
3725,Mott Hall Charter School,3,Public charter,254, 6-8, Bronx, 10456
3726,Linden Tree Elementary School,3,Public district,399, PK-5, Bronx, 10462
3727,New Heights Middle School,3,Public district,237, 6-8, Brooklyn, 11203
